Name,Run,Plate_Number,Plate_TimeStamp,Colony_Count,Min_Size,Max_Size,Min_Circularity,Max_Circularity,Min_Brightness,Max_Brightness,Min_Colony_Colour,Max_Colony_Colour,Layout,BG_Subtraction,Lighting_Mode,Lighting_Power,Camera_Brightness,Gain,Exposure,Hue,Saturation,White_Bal_Blue,White_Bal_Red
YPD37C_48h_Plate1_T1,1,1,07/09/2024 10:01,1528,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD37C_48h_Plate1_T2,1,2,07/09/2024 10:01,1528,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD37C_48h_Plate1_T3,1,3,07/09/2024 10:02,1528,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD37C_48h_Plate2_T1,1,4,07/09/2024 10:03,1528,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD37C_48h_Plate2_T2,1,5,07/09/2024 10:03,1528,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD37C_48h_Plate2_T3,1,6,07/09/2024 10:04,1528,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD26C_48h_Plate1_T1,2,1,07/09/2024 10:06,1525,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD26C_48h_Plate1_T2,2,2,07/09/2024 10:07,1524,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD26C_48h_Plate1_T3,2,3,07/09/2024 10:07,1527,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
4mMH2O2_48h_Plate1_T1,2,4,07/09/2024 10:08,1528,4,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
4mMH2O2_48h_Plate1_T2,2,5,07/09/2024 10:08,1528,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
4mMH2O2_48h_Plate1_T3,2,6,07/09/2024 10:09,1528,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
1MNaCl_48h_Plate1_T1,2,7,07/09/2024 10:09,1528,100,12780,0.7,1,0,255,-255,255,Rectangular1536,113,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
1MNaCl_48h_Plate1_T2,2,8,07/09/2024 10:10,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,107,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
1MNaCl_48h_Plate1_T3,2,9,07/09/2024 10:10,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,105,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_48h_Plate1_T1,2,10,07/09/2024 10:11,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,99,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_48h_Plate1_T2,2,11,07/09/2024 10:11,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,101,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_48h_Plate1_T3,2,12,07/09/2024 10:12,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,102,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD26C_48h_Plate2_T1,3,1,07/09/2024 10:14,1528,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD26C_48h_Plate2_T2,3,2,07/09/2024 10:14,1522,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YPD26C_48h_Plate2_T3,3,3,07/09/2024 10:15,1521,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
4mMH2O2_48h_Plate2_T1,3,4,07/09/2024 10:15,1528,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
4mMH2O2_48h_Plate2_T2,3,5,07/09/2024 10:16,1528,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
4mMH2O2_48h_Plate2_T3,3,6,07/09/2024 10:16,1525,100,12780,0.7,1,0,255,-255,255,Rectangular1536,143,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
1MNaCl_48h_Plate2_T1,3,7,07/09/2024 10:17,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,109,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
1MNaCl_48h_Plate2_T2,3,8,07/09/2024 10:17,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,112,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
1MNaCl_48h_Plate2_T3,3,9,07/09/2024 10:18,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,116,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_48h_Plate2_T1,3,10,07/09/2024 10:18,1525,30,12780,0.7,1,0,255,-255,255,Rectangular1536,97,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_48h_Plate2_T2,3,11,07/09/2024 10:18,1527,30,12780,0.7,1,0,255,-255,255,Rectangular1536,98,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_48h_Plate2_T3,3,12,07/09/2024 10:19,1524,30,12780,0.7,1,0,255,-255,255,Rectangular1536,98,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_96h_Plate1_T1,4,1,09/09/2024 15:40,1528,30,12780,0.7,1,0,255,-255,255,Rectangular1536,106,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_96h_Plate1_T2,4,2,09/09/2024 15:41,1523,4,12780,0.7,1,0,255,-255,255,Rectangular1536,106,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_96h_Plate1_T3,4,3,09/09/2024 15:41,1526,30,12780,0.7,1,0,255,-255,255,Rectangular1536,106,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_96h_Plate2_T1,4,4,09/09/2024 15:42,1524,30,12780,0.7,1,0,255,-255,255,Rectangular1536,106,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_96h_Plate2_T2,4,5,09/09/2024 15:43,1517,100,12780,0.7,1,0,255,-255,255,Rectangular1536,106,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
YP7G_96h_Plate2_T3,4,6,09/09/2024 15:43,1524,100,12780,0.7,1,0,255,-255,255,Rectangular1536,106,WhiteReflective,0.3,0,0,14.5,0.5,0.5,0.5,0.5
