Run,Plate,Type,Row,Col,Size,Circularity,Brightness,Redness,Avg. Red,Avg. Blue,Avg. Green,Multi,Gene
1,1,Control,A,1,1309,0.9213,204.8230201,0.9,206,205,202,,
1,1,Control,A,2,1238,0.9346,201.4270328,0.5,202,202,200,,
1,1,Control,A,3,1229,0.9317,200.1244915,0.2,200,200,198,,
1,1,Control,A,4,1124,0.9413,198.8635824,1.3,199,198,197,,
1,1,Control,A,5,1207,0.9478,199.4512566,0.5,199,199,198,,
1,1,Control,A,6,1162,0.9475,198.2211704,0.7,199,198,197,,
1,1,Control,A,7,1178,0.9584,198.5271647,0.8,199,198,197,,
1,1,Control,A,8,1180,0.9542,198.6,0.8,199,198,197,,
1,1,Control,A,9,1177,0.9669,199.1560464,0.9,199,199,198,,
1,1,Control,A,10,1220,0.9467,199.3177596,1.2,200,199,198,,
1,1,Control,A,11,1168,0.9598,199.2614155,1.3,200,199,198,,
1,1,Control,A,12,1156,0.9663,200.3748558,1.3,201,200,199,,
1,1,Control,A,13,1213,0.9629,201.2572135,1,202,201,200,,
1,1,Control,A,14,1125,0.9547,201.7380741,1,202,201,201,,
1,1,Control,A,15,1090,0.9514,201.2073394,0.9,201,200,200,,
1,1,Control,A,16,1128,0.9583,201.1823286,1.5,202,200,201,,
1,1,Control,A,17,1134,0.9621,201.3527337,1.4,202,200,201,,
1,1,Control,A,18,1086,0.9632,202.0509515,1.1,202,201,201,,
1,1,Control,A,19,1189,0.9647,202.3739837,1.8,203,201,201,,
1,1,Control,A,20,1090,0.9679,201.493578,1.7,202,200,201,,
1,1,Control,A,21,1139,0.9614,203.9417618,1.7,204,202,204,,
1,1,Control,A,22,1062,0.9623,201.7212806,1.8,202,200,202,,
1,1,Control,A,23,1079,0.9694,201.3812172,1.5,202,200,201,,
1,1,Control,A,24,1055,0.9668,201.2919431,2.5,202,199,201,,
1,1,Control,A,25,1278,0.9077,199.765519,5.6,204,200,194,,
1,1,Control,A,26,1080,0.9713,201.3626543,2.6,203,200,200,,
1,1,Control,A,27,1091,0.9661,202.3382218,3.2,204,201,200,,
1,1,Control,A,28,1131,0.9584,202.47598,2.9,204,201,201,,
1,1,Control,A,29,1081,0.9556,201.6540241,2.9,203,200,200,,
1,1,Control,A,30,1070,0.9813,200.9613707,3.4,203,199,200,,
1,1,Control,A,31,1083,0.9686,201.4752231,3.5,203,200,200,,
1,1,Control,A,32,1048,0.9618,201.1218193,3.7,203,200,199,,
1,1,Control,A,33,1075,0.9609,201.2868217,3.9,204,200,199,,
1,1,Control,A,34,1102,0.9546,200.9162129,4.2,204,199,198,,
1,1,Control,A,35,1132,0.9576,201.4437574,4.3,204,200,199,,
1,1,Control,A,36,1122,0.9626,200.4795009,4.8,204,199,197,,
1,1,Control,A,37,1105,0.9566,200.1291101,4.7,203,199,197,,
1,1,Control,A,38,1119,0.9634,199.4384867,5,203,198,196,,
1,1,Control,A,39,1090,0.9706,198.6247706,5,202,197,196,,
1,1,Control,A,40,1091,0.9533,198.6953865,4.6,202,197,195,,
1,1,Control,A,41,1082,0.9612,197.5083179,4.8,201,196,194,,
1,1,Control,A,42,1104,0.962,197.3493357,5,201,196,193,,
1,1,Control,A,43,1072,0.9534,197.3286692,4.8,201,197,193,,
1,1,Control,A,44,1114,0.9524,196.6651706,5.1,200,196,192,,
1,1,Control,A,45,1158,0.9655,196.2449626,5.3,200,196,191,,
1,1,Control,A,46,1226,0.9666,197.6601414,6,202,197,192,,
1,1,Control,A,47,1355,0.9661,199.1153752,6,204,199,193,,
1,1,Control,A,48,1492,0.9578,203.4182306,5.9,208,203,198,,
1,1,Control,B,1,1543,0.9676,205.2862389,3.6,209,207,199,,
1,1,Control,B,2,1230,0.9805,199.2176152,3.4,203,201,193,,
1,1,Control,B,3,1021,0.9481,194.9027098,3.5,198,196,189,,
1,1,Control,B,4,926,0.9557,194.5295176,3.9,198,195,189,,
1,1,Control,B,5,952,0.958,195.5073529,3.9,199,196,190,,
1,1,Control,B,6,882,0.949,194.8922902,3.5,199,197,188,,
1,1,Control,B,7,1006,0.9662,196.7577866,3.8,200,198,191,,
1,1,Control,B,8,988,0.9595,197.7722672,3.7,201,199,192,,
1,1,Control,B,9,977,0.9703,198.2057318,4,202,199,193,,
1,1,Control,B,10,991,0.9576,198.69593,4.3,203,199,193,,
1,1,Control,B,11,1005,0.9692,199.2922056,4.9,204,200,193,,
1,1,Control,B,12,1016,0.9656,200.2962598,5,205,201,194,,
1,1,Control,B,13,957,0.9697,199.9905956,4,204,201,194,,
1,1,Control,B,14,994,0.9668,200.5523139,4.1,204,201,195,,
1,1,Control,B,15,962,0.9605,200.6306306,4.4,205,202,194,,
1,1,Control,B,16,922,0.9794,201.0784526,4.7,205,202,195,,
1,1,Control,B,17,953,0.9612,201.4561035,5.6,206,202,195,,
1,1,Control,B,18,969,0.9721,201.3677331,6.1,207,202,194,,
1,1,Control,B,19,975,0.9733,201.5124786,5.4,206,202,194,,
1,1,Control,B,20,947,0.9694,202.3417811,6.1,207,202,196,,
1,1,Control,B,21,969,0.969,201.9146887,5.8,207,202,196,,
1,1,Control,B,22,967,0.9752,202.2616339,5.4,207,203,196,,
1,1,Control,B,23,948,0.9736,201.2317159,5.8,206,202,195,,
1,1,Control,B,24,941,0.9787,201.569961,6.2,207,202,195,,
1,1,Control,B,25,964,0.9782,201.6656293,7.1,208,202,194,,
1,1,Control,B,26,958,0.9582,201.8907446,7,208,202,194,,
1,1,Control,B,27,943,0.9671,203.1420997,7.7,209,203,195,,
1,1,Control,B,28,956,0.9571,201.9124826,6.6,207,202,195,,
1,1,Control,B,29,970,0.9639,201.6701031,7.8,208,202,193,,
1,1,Control,B,30,945,0.9672,201.707231,7.9,208,201,194,,
1,1,Control,B,31,951,0.96,202.21381,8.1,209,202,194,,
1,1,Control,B,32,952,0.9664,201.1754202,7.5,208,202,193,,
1,1,Control,B,33,959,0.9771,201.0789016,8.1,208,201,193,,
1,1,Control,B,34,957,0.9551,200.6123302,8.5,208,200,192,,
1,1,Control,B,35,941,0.9702,199.9287991,8.7,207,200,191,,
1,1,Control,B,36,952,0.958,199.6866246,9,207,200,190,,
1,1,Control,B,37,954,0.9465,199.0314465,8.7,206,199,190,,
1,1,Control,B,38,926,0.9784,197.7271418,9,205,198,189,,
1,1,Control,B,39,901,0.9678,197.9700333,9.6,206,198,188,,
1,1,Control,B,40,906,0.9614,197.3329654,8.8,205,198,188,,
1,1,Control,B,41,919,0.9717,196.9209285,8.9,205,197,187,,
1,1,Control,B,42,922,0.9718,196.3112798,9.1,204,197,187,,
1,1,Control,B,43,891,0.9506,194.8129443,9.3,203,195,185,,
1,1,Control,B,44,894,0.943,194.5630127,8.6,202,195,185,,
1,1,Control,B,45,914,0.9672,194.0441284,7.9,201,195,185,,
1,1,Control,B,46,1008,0.9623,194.8673942,9.3,203,196,184,,
1,1,Control,B,47,1104,0.9638,197.6171498,9.8,207,199,186,,
1,1,Control,B,48,1408,0.9631,204.5374053,9.6,213,206,193,,
1,1,Control,C,1,1428,0.9832,200.8384687,3.4,204,202,195,,
1,1,Control,C,2,993,0.9607,194.3373615,4.1,198,196,188,,
1,1,Control,C,3,925,0.9557,191.8194595,3.7,195,193,186,,
1,1,Control,C,4,837,0.9582,191.6583035,4.3,196,193,185,,
1,1,Control,C,5,796,0.9573,191.6922111,4.6,196,192,185,,
1,1,Control,C,6,765,0.9425,191.5045752,5,196,192,185,,
1,1,Control,C,7,738,0.958,191.8405601,4.4,196,193,185,,
1,1,Control,C,8,729,0.9643,193.7475995,4.8,198,194,187,,
1,1,Control,C,9,733,0.9441,193.3728968,5,198,194,187,,
1,1,Control,C,10,742,0.9569,193.5386343,5.1,198,194,187,,
1,1,Control,C,11,670,0.9463,193.5507463,4.8,198,194,187,,
1,1,Control,C,12,697,0.9426,195.0789096,5.9,200,196,188,,
1,1,Control,C,13,638,0.9404,195.4785789,6,201,196,188,,
1,1,Control,C,14,671,0.9553,196.6537506,6.2,202,197,190,,
1,1,Control,C,15,661,0.9546,195.1512859,6.4,201,196,188,,
1,1,Control,C,16,671,0.9449,195.3412817,5.6,201,196,188,,
1,1,Control,C,17,690,0.9478,195.9623188,6.3,201,196,189,,
1,1,Control,C,18,697,0.9584,197.0296509,7.2,203,197,189,,
1,1,Control,C,19,688,0.9535,198.1443798,6.5,204,199,191,,
1,1,Control,C,20,713,0.9762,197.8195418,5.6,203,198,191,,
1,1,Control,C,21,716,0.9595,197.599162,6.4,203,198,190,,
1,1,Control,C,22,705,0.9489,197.81513,6.3,203,198,191,,
1,1,Control,C,23,717,0.9665,196.4425848,6.5,202,197,189,,
1,1,Control,C,24,726,0.9463,197.5179063,7.4,204,198,190,,
1,1,Control,C,25,599,0.9399,197.7256539,8.2,204,198,190,,
1,1,Control,C,26,591,0.9526,198.1928934,7.2,204,198,190,,
1,1,Control,C,27,683,0.9531,196.9780381,8.3,204,197,188,,
1,1,Control,C,28,696,0.9526,197.3994253,9.1,205,197,189,,
1,1,Control,C,29,703,0.9417,197.9739213,8.3,205,198,189,,
1,1,Control,C,30,687,0.9592,196.5507035,8.4,204,197,188,,
1,1,Control,C,31,676,0.9497,196.2263314,8.8,204,196,187,,
1,1,Control,C,32,671,0.9523,197.0740189,8.6,204,197,188,,
1,1,Control,C,33,644,0.9503,195.9270186,8.6,203,196,187,,
1,1,Control,C,34,630,0.9603,195.5518519,8.7,203,196,186,,
1,1,Control,C,35,589,0.9593,195.1120543,8.9,203,195,186,,
1,1,Control,C,36,617,0.9514,193.6753106,9.5,202,194,184,,
1,1,Control,C,37,650,0.9415,187.9825641,10.6,197,188,177,,
1,1,Control,C,38,643,0.9362,187.7169518,10.9,197,189,176,,
1,1,Control,C,39,668,0.9491,192.1991018,10.6,201,192,182,,
1,1,Control,C,40,657,0.9543,192.3272451,11.2,201,192,182,,
1,1,Control,C,41,697,0.944,192.0248685,10,200,192,182,,
1,1,Control,C,42,661,0.9592,191.4024206,10.1,200,191,182,,
1,1,Control,C,43,630,0.9444,190.8074074,10.3,199,191,181,,
1,1,Control,C,44,662,0.9456,190.4264854,10.6,199,190,180,,
1,1,Control,C,45,719,0.9513,189.3421419,10,198,189,179,,
1,1,Control,C,46,781,0.9385,189.2897994,9.3,197,190,180,,
1,1,Control,C,47,961,0.9563,193.3059313,9.9,202,194,182,,
1,1,Control,C,48,1344,0.9732,200.0803571,9.5,209,201,189,,
1,1,Control,D,1,1305,0.9617,194.8219668,1.4,196,195,193,,
1,1,Control,D,2,868,0.9459,190.5656682,2.7,193,191,187,,
1,1,Control,D,3,775,0.951,187.4963441,2.1,189,187,185,,
1,1,Control,D,4,711,0.9564,187.1879981,2.8,189,187,185,,
1,1,Control,D,5,680,0.9338,187.6892157,2.1,189,187,185,,
1,1,Control,D,6,674,0.9466,188.0860534,2.3,189,187,186,,
1,1,Control,D,7,617,0.94,188.1026472,2.5,190,188,185,,
1,1,Control,D,8,633,0.9336,189.1542917,2.4,191,189,186,,
1,1,Control,D,9,670,0.9463,191.3606965,2.4,193,191,189,,
1,1,Control,D,10,636,0.9387,190.307652,2,192,190,188,,
1,1,Control,D,11,604,0.9189,190.816777,2.5,192,190,188,,
1,1,Control,D,12,586,0.942,191.162116,2.9,193,190,189,,
1,1,Control,D,13,592,0.9443,191.2460586,3,193,191,188,,
1,1,Control,D,14,575,0.9443,192.1344928,3.4,194,191,189,,
1,1,Control,D,15,558,0.9319,191.5908005,3.5,194,191,188,,
1,1,Control,D,16,571,0.9562,190.1576182,2.9,193,190,186,,
1,1,Control,D,17,583,0.9726,192.8256146,3,195,192,190,,
1,1,Control,D,18,580,0.9621,192.6735632,3.2,195,192,189,,
1,1,Control,D,19,606,0.9521,192.4218922,3.4,195,192,189,,
1,1,Control,D,20,598,0.9548,192.3327759,3.4,195,192,189,,
1,1,Control,D,21,604,0.9421,193.4365342,3.6,196,193,190,,
1,1,Control,D,22,578,0.9602,192.6885813,3.2,195,192,190,,
1,1,Control,D,23,620,0.9468,193.1268817,2.9,195,192,190,,
1,1,Control,D,24,599,0.9399,193.7979967,4.6,197,192,191,,
1,1,Control,D,25,533,0.9343,192.6041276,4,195,192,189,,
1,1,Control,D,26,515,0.9534,194.0763754,3.6,196,193,191,,
1,1,Control,D,27,580,0.95,192.7471264,5.1,196,191,189,,
1,1,Control,D,28,550,0.9691,192.0951515,5,195,191,188,,
1,1,Control,D,29,573,0.9721,192.1326353,4.6,195,191,189,,
1,1,Control,D,30,574,0.9617,192.4111498,5.3,196,191,189,,
1,1,Control,D,31,550,0.9582,191.7333333,4.6,195,191,188,,
1,1,Control,D,32,545,0.9651,190.8318043,6,195,190,186,,
1,1,Control,D,33,557,0.9533,191.2016756,5.2,195,190,187,,
1,1,Control,D,34,556,0.9586,190.8848921,4.4,194,190,187,,
1,1,Control,D,35,522,0.9444,189.7318008,5.1,193,189,185,,
1,1,Control,D,36,490,0.9286,189.6816327,5.8,194,188,186,,
1,1,Control,D,37,522,0.931,182.5344828,5.8,187,182,176,,
1,1,Control,D,38,511,0.9276,182.1630789,6.7,187,182,176,,
1,1,Control,D,39,544,0.9375,187.4938725,6,192,187,183,,
1,1,Control,D,40,556,0.9299,187.1870504,6.2,192,186,182,,
1,1,Control,D,41,589,0.927,187.1658178,5.7,191,186,182,,
1,1,Control,D,42,583,0.9365,187.6249285,6.1,192,187,183,,
1,1,Control,D,43,578,0.9481,187.115917,5.6,191,186,183,,
1,1,Control,D,44,578,0.9429,186.0536332,5.3,190,185,182,,
1,1,Control,D,45,631,0.9509,184.7749604,6.7,190,184,180,,
1,1,Control,D,46,666,0.9444,184.7962963,6.7,190,184,179,,
1,1,Control,D,47,802,0.9551,188.4792186,6.7,194,188,182,,
1,1,Control,D,48,1141,0.9614,193.1700263,6.4,198,192,188,,
1,1,Control,E,1,1201,0.9667,192.6147655,0.2,192,192,192,,
1,1,Control,E,2,854,0.9379,188.1436378,0.2,188,188,187,,
1,1,Control,E,3,739,0.9513,185.7478575,0.7,186,185,185,,
1,1,Control,E,4,673,0.951,186.3972263,1,187,186,185,,
1,1,Control,E,5,0,0,0,0,0,0,0,,
1,1,Control,E,6,0,0,0,0,0,0,0,,
1,1,Control,E,7,659,0.9439,187.5417299,1.6,188,187,186,,
1,1,Control,E,8,656,0.9588,189.0950203,1.1,190,189,188,,
1,1,Control,E,9,0,0,0,0,0,0,0,,
1,1,Control,E,10,0,0,0,0,0,0,0,,
1,1,Control,E,11,660,0.947,191.6671717,1.3,192,191,191,,
1,1,Control,E,12,620,0.9468,191.4284946,1.4,192,191,190,,
1,1,Control,E,13,540,0.9407,190.0234568,1.3,190,189,189,,
1,1,Control,E,14,561,0.9412,190.0392157,1,190,189,189,,
1,1,Control,E,15,368,0.9375,185.4646739,2.1,187,186,182,,
1,1,Control,E,16,365,0.9616,184.7068493,3.3,187,185,181,,
1,1,Control,E,17,544,0.954,191.1868873,2.1,192,190,190,,
1,1,Control,E,18,527,0.9298,191.4509804,2.3,192,190,190,,
1,1,Control,E,19,532,0.9624,190.1403509,2.5,192,189,188,,
1,1,Control,E,20,529,0.9376,190.1417769,2.2,192,190,188,,
1,1,Control,E,21,556,0.955,190.3393285,2.8,192,190,188,,
1,1,Control,E,22,555,0.9532,191.3249249,2.5,193,191,189,,
1,1,Control,E,23,566,0.9576,193.0777385,2.1,194,192,191,,
1,1,Control,E,24,574,0.9512,191.7828107,3.1,193,190,190,,
1,1,Control,E,25,533,0.9644,192.5228268,3.5,194,191,190,,
1,1,Control,E,26,507,0.9467,192.2636423,3.1,194,191,190,,
1,1,Control,E,27,546,0.9579,191.4420024,3.7,194,191,188,,
1,1,Control,E,28,536,0.9459,192.0391791,3.2,194,191,189,,
1,1,Control,E,29,559,0.9463,192.2546213,3.8,195,191,190,,
1,1,Control,E,30,537,0.9683,191.9882061,3.5,194,191,190,,
1,1,Control,E,31,545,0.967,190.8960245,4.4,194,190,188,,
1,1,Control,E,32,519,0.9653,190.4386641,3.9,193,189,188,,
1,1,Control,E,33,535,0.957,191.3383178,4.8,194,190,188,,
1,1,Control,E,34,517,0.9516,190.587363,4.1,193,189,188,,
